Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1960,,,,7.39047619047619,9.088461538461539,10.54782608695652,12.525,11.769565217391303,11.229411764705887,10.453333333333338,8.910714285714285,7.311111111111111
1961,6.9,6.521739130434781,6.970370370370371,8.181481481481482,9.948275862068966,11.582758620689654,12.563333333333336,12.166666666666666,12.073076923076924,10.055555555555555,7.583333333333335,5.795999999999999
1962,5.6409090909090915,5.774074074074075,5.382142857142858,7.032,8.803333333333335,10.373333333333331,10.851612903225808,11.832258064516125,11.339285714285717,10.5,9.285185185185187,8.16
1963,6.970967741935484,7.557142857142858,7.429032258064514,8.163333333333334,10.029032258064516,11.22,11.654838709677417,12.009677419354837,12.843333333333335,11.941935483870969,9.413333333333334,8.219354838709679
1964,7.580645161290321,7.417241379310343,7.041935483870967,7.603333333333335,8.790322580645162,11.169999999999998,12.40645161290323,13.067741935483873,11.640000000000002,10.690322580645162,7.826666666666666,6.087096774193547
1965,5.496774193548387,5.682142857142857,6.277419354838709,7.006666666666667,8.835483870967742,10.716666666666665,11.55483870967742,10.851612903225806,9.913333333333332,10.080645161290324,7.7733333333333325,7.627586206896551
1966,6.051851851851851,6.632142857142858,6.893548387096773,8.003333333333334,8.980645161290324,11.049999999999999,12.106451612903225,12.712903225806452,12.316666666666666,10.538709677419357,8.373333333333335,6.835483870967744
1967,6.696774193548387,6.75,6.6161290322580655,7.733333333333333,9.612903225806452,10.903333333333336,12.748387096774191,13.000000000000002,13.623333333333335,11.70967741935484,9.589999999999998,7.503225806451614
1968,6.138709677419353,5.993103448275863,7.141935483870968,7.726666666666666,9.7,12.186666666666666,13.406451612903227,12.81290322580645,13.033333333333331,10.441935483870965,8.49,6.6645161290322585
1969,4.429032258064517,4.428571428571429,5.9548387096774205,6.823333333333333,9.761290322580644,11.686666666666667,12.516129032258062,12.193548387096778,11.913333333333334,10.937931034482759,9.39655172413793,8.166666666666666
1970,6.541935483870968,7.321428571428571,7.387096774193548,7.883333333333334,9.361290322580647,11.476666666666665,12.238709677419358,11.945161290322583,10.963333333333335,9.774193548387098,8.379999999999999,6.141935483870969
1971,5.103225806451613,5.5392857142857155,5.716129032258064,6.9399999999999995,8.59032258064516,10.366666666666669,12.025806451612903,13.412903225806451,12.536666666666667,10.425806451612901,8.176666666666668,6.141935483870969
1972,4.425806451612904,4.413793103448276,5.435483870967742,6.243333333333334,8.803225806451614,10.653333333333332,11.693548387096774,12.27741935483871,10.820000000000002,9.383870967741936,7.906666666666666,6.503225806451613
1973,6.087096774193548,6.146428571428571,6.6258064516129025,7.96,9.306451612903226,10.950000000000001,11.819354838709675,11.567741935483872,11.909999999999998,9.983870967741938,6.776666666666667,6.7774193548387105
1974,5.507142857142858,5.807142857142857,6.577419354838709,7.83,9.506451612903227,11.210000000000003,12.148387096774195,12.548387096774192,11.156666666666666,10.325806451612902,8.636666666666665,7.593548387096774
1975,6.2612903225806456,5.125000000000001,5.466666666666666,6.746666666666666,8.393548387096773,9.85,11.729032258064517,11.47741935483871,11.246666666666666,9.883870967741935,7.686666666666666,6.73548387096774
1976,6.2064516129032254,5.6689655172413795,5.696774193548386,6.963333333333333,8.30967741935484,9.906666666666665,11.983870967741934,12.474193548387097,12.23,10.664516129032256,9.016666666666667,7.867741935483872
