YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1990,0.6403333333333334,-0.7846666666666664,0.0129999999999999,0.923793103448272,0.11275862068965381,-0.22833333333333172,0.7593333333333323,0.7896551724137915,0.9882758620689636,-0.3683333333333323,-0.13466666666666782,-0.535333333333333
1991,-0.6196666666666664,0.23533333333333406,0.06300000000000061,-0.05620689655172839,-0.17724137931034534,-0.8183333333333316,-0.4206666666666692,-0.29034482758620683,0.02827586206896271,0.201666666666668,0.13533333333333175,0.5246666666666675
1992,0.6503333333333332,0.8853333333333335,1.963000000000001,1.0837931034482722,0.8727586206896536,0.5816666666666688,0.9193333333333324,-0.1003448275862091,-1.0617241379310371,-0.12833333333333208,0.45533333333333204,0.06466666666666665
1993,-0.3896666666666668,-0.2946666666666662,0.34299999999999997,-0.05620689655172839,0.16275862068965452,0.22166666666666934,-0.5506666666666682,-0.11034482758620712,-0.3417241379310365,0.6716666666666669,0.10533333333333061,0.18466666666666676
1994,1.0403333333333338,-0.304666666666666,0.08300000000000018,0.7637931034482719,0.28275862068965374,-0.04833333333333201,0.009333333333332305,1.059655172413791,0.7282758620689638,-0.31833333333333336,-1.3446666666666687,-0.5553333333333335
1995,0.45033333333333303,0.11533333333333395,0.3030000000000008,0.5337931034482715,0.6627586206896545,0.6416666666666693,0.42933333333333046,-0.3703448275862087,1.1482758620689637,0.8016666666666676,1.1153333333333322,0.9746666666666668
1996,0.49033333333333307,0.3853333333333335,0.4430000000000014,0.11379310344827154,-0.6972413793103467,-0.1883333333333308,-0.39066666666666805,-0.7003448275862088,-0.2717241379310362,-0.5583333333333318,-0.14466666666666939,-0.9153333333333329
1997,-0.9296666666666669,0.23533333333333406,-0.8269999999999991,-0.6262068965517287,-0.04724137931034633,0.13166666666666949,-0.2906666666666684,-0.4303448275862074,0.9982758620689616,0.701666666666668,1.505333333333331,1.2446666666666664
1998,-0.06966666666666654,0.6853333333333342,0.8230000000000004,0.5437931034482713,0.1827586206896541,-0.34833333333333094,0.3293333333333326,0.18965517241379004,-0.2917241379310376,-0.4883333333333333,-0.14466666666666939,-0.31533333333333324
1999,-0.4196666666666671,-0.6446666666666658,-0.8569999999999993,-0.8962068965517282,-1.597241379310347,-1.7083333333333321,-1.7806666666666686,-0.8003448275862084,-1.2217241379310373,-1.168333333333333,-0.9546666666666681,-0.4853333333333332
2000,-0.7596666666666669,-0.3546666666666667,-0.246999999999999,0.07379310344827239,-1.0872413793103455,-0.7183333333333319,-0.8006666666666682,-1.110344827586209,-0.5817241379310367,-0.6283333333333321,-0.3346666666666689,-0.7553333333333327
2001,-0.16966666666666708,-0.6246666666666663,-0.3669999999999991,-0.576206896551728,-1.2572413793103454,-1.1883333333333308,-1.390666666666668,-1.7203448275862083,-0.8417241379310365,-1.0683333333333334,-1.074666666666669,-0.4653333333333327
2002,-0.2796666666666665,-0.43466666666666587,-0.8969999999999994,-0.5562068965517284,-1.4572413793103465,0.12166666666666792,-0.8006666666666682,-0.6103448275862089,-0.19172413793103615,-0.5383333333333322,-0.5846666666666689,0.6246666666666671
2003,0.8403333333333327,0.6553333333333331,-0.34699999999999953,-0.39620689655172825,-0.7772413793103468,0.04166666666666785,0.1493333333333311,-0.1303448275862067,-0.44172413793103615,0.3216666666666672,-0.4646666666666679,-0.5153333333333334
2004,-0.05966666666666676,0.5553333333333335,0.5730000000000004,0.8337931034482722,1.0827586206896544,0.7516666666666687,0.5193333333333303,0.4996551724137923,-0.14172413793103722,0.5116666666666667,0.5553333333333317,0.4846666666666666
2005,0.3303333333333329,0.005333333333333634,1.0030000000000001,-0.26620689655172747,0.8127586206896531,0.14166666666666927,0.02933333333333188,-0.6003448275862091,-0.12172413793103587,-0.4083333333333332,0.04533333333333189,1.214666666666667
2006,0.700333333333333,0.13533333333333353,-0.40699999999999914,-0.4262068965517276,-0.24724137931034562,0.6916666666666682,0.06933333333333103,-0.7803448275862088,-0.6417241379310372,-0.5583333333333318,-1.244666666666669,-0.30533333333333346
2007,-1.1196666666666664,-0.5446666666666662,-0.9169999999999989,-0.9162068965517278,-0.6072413793103468,-0.8583333333333307,0.1993333333333318,0.4996551724137923,-0.5117241379310364,-1.1383333333333319,-0.41466666666666896,-0.5453333333333328
2008,-0.8696666666666664,-0.7646666666666659,-1.166999999999999,-1.326206896551728,-1.017241379310347,-1.3083333333333318,-0.7106666666666683,-0.7503448275862077,-0.8217241379310369,-1.048333333333332,0.11533333333333218,-0.31533333333333324
2009,-1.4796666666666667,-1.0346666666666664,-1.4069999999999991,-0.826206896551728,-0.9372413793103469,0.17166666666666863,-0.7706666666666688,-0.1703448275862094,-0.14172413793103722,-0.46833333333333194,-0.19466666666666832,-1.1853333333333333
2010,0.7203333333333335,0.8853333333333335,0.5230000000000015,-0.12620689655172868,-0.7472413793103456,-0.6583333333333314,-0.2406666666666677,-0.6303448275862085,-0.6917241379310362,0.3716666666666679,0.1653333333333311,-0.19533333333333314
2011,-0.30966666666666676,-0.6546666666666665,-0.6169999999999991,-0.9862068965517281,-1.1272413793103464,-0.6483333333333317,-0.6606666666666676,0.11965517241379331,-0.021724137931036225,-0.32833333333333314,-0.4646666666666679,-0.7653333333333334
