,Theil-Sen slope [deg C/century],Monte Carlo confidence limit [deg C/century],y-intercept
Amphitrite monthly,0.860029154518957,0.3577816737089894,-17.333794922254743
Bonilla monthly,0.9365079365079434,0.543950991087395,-18.820287037037176
Chrome monthly,2.525533532446375,0.9849337273324439,-50.73614610824508
Entrance monthly,1.3334441616147588,0.8600406549278676,-26.83614942120151
Kains monthly,0.750276243093922,0.5974020463500098,-15.194283609576416
Langara monthly,0.7977524738608223,0.6378293220458491,-16.10641657315251
Pine monthly,1.2002286149742822,0.6784269919439776,-24.182824241654522
RaceRocks monthly,0.765440000000009,0.558547841932667,-15.513621333333514
